No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,>2000 (2 bil)
1,A,Agilent Technologies Inc,Healthcare,Diagnostics & Research,USA,32164.65,27.93,113.23,-0.0144,1058665,Yes
2,AA,Alcoa Corp,Basic Materials,Aluminum,USA,7650.93,7.58,29.55,-0.0024,4902985,Yes
5,AAL,American Airlines Group Inc,Industrials,Airlines,USA,7746.39,15.09,11.74,0.0086,60394593,Yes
8,AAON,AAON Inc,Industrials,Building Products & Equipment,USA,6630.12,42.81,81.49,-0.0227,842770,Yes
9,AAP,Advance Auto Parts Inc,Consumer Cyclical,Auto Parts,USA,3621.3,,60.43,0.0585,3074991,Yes
12,AAPL,Apple Inc,Technology,Consumer Electronics,USA,3164713.09,32.42,213.25,0.0509,108483103,Yes
19,AB,AllianceBernstein Holding Lp,Financial,Asset Management,USA,4450.94,11.99,40.23,0.0083,69886,Yes
21,ABBV,Abbvie Inc,Healthcare,Drug Manufacturers - General,USA,346775.38,93.42,196.3,-0.0113,4057267,Yes
22,ABCB,Ameris Bancorp,Financial,Banks - Regional,USA,4604.62,11.77,66.82,-0.0058,409543,Yes
25,ABEV,Ambev S.A. ADR,Consumer Defensive,Beverages - Brewers,Brazil,35238.37,13.86,2.26,0.0226,37804036,Yes
27,ABG,Asbury Automotive Group Inc,Consumer Cyclical,Auto & Truck Dealerships,USA,4509.76,8.38,229.38,0.001,193643,Yes
29,ABM,ABM Industries Inc,Industrials,Specialty Business Services,USA,2950.41,37.94,47.39,0.0089,330690,Yes
30,ABNB,Airbnb Inc,Consumer Cyclical,Travel Services,USA,81746.87,32.84,130.5,0.0042,11212805,Yes
33,ABR,Arbor Realty Trust Inc,Real Estate,REIT - Mortgage,USA,2242.23,13.2,11.66,-0.011,2180287,Yes
35,ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,227878.28,16.37,130.93,0.0018,5170125,Yes
38,ACA,Arcosa Inc,Industrials,Engineering & Construction,USA,4134.72,53.14,84.7,-0.0052,307625,Yes
39,ACAD,Acadia Pharmaceuticals Inc,Healthcare,Biotechnology,USA,3983.21,17.33,23.8,0.0068,2090242,Yes
46,ACGL,Arch Capital Group Ltd,Financial,Insurance - Diversified,Bermuda,33637.97,9.27,89.76,0.0124,2386414,Yes
48,ACHR,Archer Aviation Inc,Industrials,Aerospace & Defense,USA,6245.01,,9.85,-0.0465,26201136,Yes
50,ACI,Albertsons Companies Inc,Consumer Defensive,Grocery Stores,USA,10967.39,11.94,19.59,0.0161,6032937,Yes
54,ACIW,ACI Worldwide Inc,Technology,Software - Infrastructure,USA,4421.52,16.61,42.15,0.0147,1159230,Yes
55,ACLS,Axcelis Technologies Inc,Technology,Semiconductor Equipment & Materials,USA,2432.85,15.48,75.72,-0.0294,1090496,Yes
56,ACLX,Arcellx Inc,Healthcare,Biotechnology,USA,3894.39,,70.67,-0.019,491584,Yes
57,ACM,AECOM,Industrials,Engineering & Construction,USA,15721.28,23.65,118.83,-0.0014,1070271,Yes
59,ACN,Accenture plc,Technology,Information Technology Services,Ireland,154180.94,19.7,247.54,0.0019,8064669,Yes
65,ACT,Enact Holdings Inc,Financial,Insurance - Specialty,USA,5339.7,8.23,36.2,0.0084,257088,Yes
67,ACVA,ACV Auctions Inc,Consumer Cyclical,Auto & Truck Dealerships,USA,2451.36,,14.33,0.0127,2103773,Yes
73,ADBE,Adobe Inc,Technology,Software - Application,USA,146612.01,22.1,345.62,0.0203,3347165,Yes
74,ADC,Agree Realty Corp,Real Estate,REIT - Retail,USA,8153.88,43.94,73.68,-0.0079,1123563,Yes
77,ADI,Analog Devices Inc,Technology,Semiconductors,USA,109517.02,60.08,220.69,0,2547311,Yes
78,ADM,Archer Daniels Midland Co,Consumer Defensive,Farm Products,USA,27255.93,24.97,56.73,-0.0154,4889936,Yes
79,ADMA,Adma Biologics Inc,Healthcare,Biotechnology,USA,4426.13,21.96,18.54,-0.0222,3941130,Yes
81,ADP,Automatic Data Processing Inc,Technology,Software - Application,USA,122442.55,30.23,301.64,0.0073,1879514,Yes
84,ADSK,Autodesk Inc,Technology,Software - Application,USA,65291.59,65.39,305.18,0.02,1163565,Yes
85,ADT,ADT Inc,Industrials,Security & Protection Services,USA,7132.31,12.85,8.58,0.0214,11810016,Yes
88,ADUS,Addus HomeCare Corporation,Healthcare,Medical Care Facilities,USA,2114.8,25.35,114.94,-0.014,254100,Yes
91,AEE,Ameren Corp,Utilities,Utilities - Regulated Electric,USA,27584.52,22.32,101.62,-0.0038,1492327,Yes
92,AEG,Aegon Ltd,Financial,Insurance - Diversified,Netherlands,11498.9,15.47,7.26,0.0197,5018418,Yes
94,AEIS,Advanced Energy Industries Inc,Industrials,Electrical Equipment & Parts,USA,5264.6,63.43,139.81,0.0016,864430,Yes
95,AEM,Agnico Eagle Mines Ltd,Basic Materials,Gold,Canada,68026.88,23.03,135.42,0.0065,2278266,Yes
96,AEO,American Eagle Outfitters Inc,Consumer Cyclical,Apparel Retail,USA,2221.29,13.12,12.82,0.0666,16552394,Yes
97,AEP,American Electric Power Company Inc,Utilities,Utilities - Regulated Electric,USA,60693.86,16.63,113.49,0.0022,3385292,Yes
98,AER,Aercap Holdings N.V,Industrials,Rental & Leasing Services,Ireland,19212.2,6.78,108.81,0.0066,1382147,Yes
99,AES,AES Corp,Utilities,Utilities - Diversified,USA,9142.72,9.07,12.84,0.0086,8651335,Yes
105,AFG,American Financial Group Inc,Financial,Insurance - Property & Casualty,USA,10661.91,14.01,127.66,0.0269,685168,Yes
107,AFL,Aflac Inc,Financial,Insurance - Life,USA,55313.39,23.13,102.31,0.0343,3640277,Yes
108,AFRM,Affirm Holdings Inc,Technology,Software - Infrastructure,USA,24930.52,,77.28,0.0323,6297643,Yes
110,AG,First Majestic Silver Corporation,Basic Materials,Silver,Canada,4060.86,,8.38,0.0036,10253380,Yes
111,AGCO,AGCO Corp,Industrials,Farm & Heavy Construction Machinery,USA,8438.06,85,113.08,-0.0048,725267,Yes
115,AGI,Alamos Gold Inc,Basic Materials,Gold,Canada,11103.56,32.1,26.41,0.0069,3626267,Yes
116,AGIO,Agios Pharmaceuticals Inc,Healthcare,Biotechnology,USA,2191.59,3.41,37.72,0.0417,1015815,Yes
120,AGNC,AGNC Investment Corp,Real Estate,REIT - Mortgage,USA,9813.12,29.01,9.42,-0.0188,16652823,Yes
122,AGO,Assured Guaranty Ltd,Financial,Insurance - Specialty,Bermuda,4230.18,10.28,86.17,0.0044,309712,Yes
125,AGX,"Argan, Inc",Industrials,Engineering & Construction,USA,3136.02,32.27,229.9,-0.0139,311288,Yes
126,AGYS,"Agilysys, Inc",Technology,Software - Application,USA,3230.25,232.61,115.19,0.0017,151924,Yes
130,AHR,American Healthcare REIT Inc,Real Estate,REIT - Healthcare Facilities,USA,6403.51,,39.65,-0.0102,1516071,Yes
131,AI,C3.ai Inc,Technology,Software - Infrastructure,USA,3124.47,,23.25,-0.0017,4677148,Yes
137,AIG,American International Group Inc,Financial,Insurance - Diversified,USA,45564.67,17.66,79.06,0.0079,4238536,Yes
143,AIR,AAR Corp,Industrials,Aerospace & Defense,USA,2583.9,215.61,72.08,-0.0044,244798,Yes
150,AIT,Applied Industrial Technologies Inc,Industrials,Industrial Distribution,USA,10091.29,26.58,264.97,-0.016,326595,Yes
156,AIZ,Assurant Inc,Financial,Insurance - Property & Casualty,USA,10649.52,15.21,210.04,0.1123,1072672,Yes
157,AJG,Arthur J. Gallagher & Co,Financial,Insurance Brokers,USA,73397.06,43.15,286.26,0.0017,1136219,Yes
158,AKAM,Akamai Technologies Inc,Technology,Software - Infrastructure,USA,10889.45,25.12,74.48,0.0113,2175963,Yes
160,AKR,Acadia Realty Trust,Real Estate,REIT - Retail,USA,2560.22,115.28,19.24,0.0073,1475968,Yes
161,AKRO,Akero Therapeutics Inc,Healthcare,Biotechnology,USA,4208.29,,52.79,0.0652,2592064,Yes
162,AL,Air Lease Corp,Industrials,Rental & Leasing Services,USA,6123.61,6.65,54.79,-0.0022,1116034,Yes
163,ALAB,Astera Labs Inc,Technology,Semiconductors,USA,28759.84,305.79,174.39,0.2866,17234708,Yes
164,ALB,Albemarle Corp,Basic Materials,Specialty Chemicals,USA,7920.06,,67.3,-0.0139,2106179,Yes
165,ALC,Alcon Inc,Healthcare,Medical Instruments & Supplies,Switzerland,41605.75,37.39,84.12,-0.0166,2151811,Yes
167,ALE,"Allete, Inc",Utilities,Utilities - Diversified,USA,3818.72,20.66,65.86,-0.0012,636867,Yes
170,ALG,Alamo Group Inc,Industrials,Farm & Heavy Construction Machinery,USA,2717.46,23.42,224.77,-0.006,73057,Yes
171,ALGM,Allegro Microsystems Inc,Technology,Semiconductors,USA,5701.09,,30.81,-0.0138,1066254,Yes
172,ALGN,"Align Technology, Inc",Healthcare,Medical Instruments & Supplies,USA,9923.18,23.09,136.9,-0.0197,2127875,Yes
174,ALHC,Alignment Healthcare Inc,Healthcare,Healthcare Plans,USA,2715.01,,13.71,0.0224,2173653,Yes
175,ALIT,Alight Inc,Technology,Software - Application,USA,2336.03,,4.34,0.0358,13202026,Yes
176,ALK,Alaska Air Group Inc,Industrials,Airlines,USA,6224.91,21.97,54,0.0154,1782106,Yes
177,ALKS,Alkermes plc,Healthcare,Drug Manufacturers - Specialty & Generic,Ireland,4382.82,12.74,26.55,-0.0019,1117859,Yes
178,ALKT,Alkami Technology Inc,Technology,Software - Application,USA,2227.38,,21.4,-0.0074,1404468,Yes
179,ALL,Allstate Corp,Financial,Insurance - Property & Casualty,USA,55075.25,9.83,209.01,0.0168,1422239,Yes
180,ALLE,Allegion plc,Industrials,Security & Protection Services,Ireland,14120.9,22.85,164.49,-0.0055,863875,Yes
183,ALLY,Ally Financial Inc,Financial,Credit Services,USA,11456.61,24.18,37.22,-0.0005,2390739,Yes
186,ALNY,Alnylam Pharmaceuticals Inc,Healthcare,Biotechnology,USA,56120.17,,428.14,0.022,1181810,Yes
187,ALRM,Alarm.com Holdings Inc,Technology,Software - Application,USA,2774.11,23.59,55.77,0.0096,361269,Yes
189,ALSN,Allison Transmission Holdings Inc,Consumer Cyclical,Auto Parts,USA,7437.17,10.02,88.27,0.0214,1209802,Yes
196,ALV,Autoliv Inc,Consumer Cyclical,Auto Parts,Sweden,8745.27,12.46,113.86,0.0134,436013,Yes
198,AM,Antero Midstream Corp,Energy,Oil & Gas Midstream,USA,8938.4,19.86,18.68,0.0097,3434006,Yes
200,AMAT,Applied Materials Inc,Technology,Semiconductor Equipment & Materials,USA,142957.02,21.68,178.14,-0.0056,5857823,Yes
201,AMBA,Ambarella Inc,Technology,Semiconductor Equipment & Materials,USA,2650.45,,62.49,-0.0144,315405,Yes
203,AMBP,Ardagh Metal Packaging S.A,Consumer Cyclical,Packaging & Containers,Luxembourg,2307.12,,3.86,-0.0153,1907406,Yes
206,AMCR,Amcor Plc,Consumer Cyclical,Packaging & Containers,Switzerland,21693.28,16.88,9.41,0.0032,25932097,Yes
208,AMD,Advanced Micro Devices Inc,Technology,Semiconductors,USA,264483.46,93.89,163.12,-0.0642,133641835,Yes
212,AME,Ametek Inc,Industrials,Specialty Industrial Machinery,USA,42835.03,29.91,185.47,0.0028,1157388,Yes
213,AMED,Amedisys Inc,Healthcare,Medical Care Facilities,USA,3265.32,38.66,99.29,-0.0002,821143,Yes
214,AMG,Affiliated Managers Group Inc,Financial,Asset Management,USA,6080.37,16.1,213.88,0.0058,148709,Yes
215,AMGN,AMGEN Inc,Healthcare,Drug Manufacturers - General,USA,153068.8,23.29,284.67,-0.0514,4576216,Yes
216,AMH,American Homes 4 Rent,Real Estate,REIT - Residential,USA,12922.52,31.35,34.84,-0.0125,2940650,Yes
217,AMKR,AMKOR Technology Inc,Technology,Semiconductor Equipment & Materials,USA,5489.05,18.12,22.21,0.0018,2636920,Yes
222,AMP,Ameriprise Financial Inc,Financial,Asset Management,USA,48414.07,15.82,508.43,0.0067,349772,Yes
231,AMRX,Amneal Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,2523.03,1183.82,8.05,-0.0098,1558261,Yes
232,AMRZ,Amrize Ltd,Basic Materials,Building Materials,Switzerland,27642.33,,50.01,-0.0036,3424945,Yes
233,AMSC,American Superconductor Corp,Industrials,Specialty Industrial Machinery,USA,2477.98,138.95,54.87,-0.0135,794899,Yes
235,AMT,American Tower Corp,Real Estate,REIT - Specialty,USA,97817.68,75.83,208.9,-0.0055,1634081,Yes
237,AMTM,Amentum Holdings Inc,Industrials,Specialty Business Services,USA,6263.12,120.39,25.74,0.017,2612236,Yes
241,AMX,America Movil S.A.B.DE C.V. ADR,Communication Services,Telecom Services,Mexico,55611.1,19.33,18.17,-0.0011,3300050,Yes
244,AMZN,Amazon.com Inc,Consumer Cyclical,Internet Retail,USA,2370916.58,33.93,222.31,0.04,54823045,Yes
250,AN,Autonation Inc,Consumer Cyclical,Auto & Truck Dealerships,USA,7371.91,12.25,195.51,0.0001,313107,Yes
253,ANET,Arista Networks Inc,Technology,Computer Hardware,USA,174296.77,54.57,138.78,0.1749,25997080,Yes
255,ANF,Abercrombie & Fitch Co,Consumer Cyclical,Apparel Retail,USA,4915.36,10.16,103.17,0.0381,2251153,Yes
268,AON,Aon plc,Financial,Insurance Brokers,Ireland,78419.08,30.45,363.68,0.0058,931793,Yes
271,AOS,A.O. Smith Corp,Industrials,Specialty Industrial Machinery,USA,9887.54,19.68,70.56,0.0034,1020570,Yes
275,APA,APA Corporation,Energy,Oil & Gas E&P,USA,6516.86,6.53,18.06,-0.0285,8698114,Yes
276,APAM,Artisan Partners Asset Management Inc,Financial,Asset Management,USA,3733.47,12.55,46.26,-0.0098,551878,Yes
277,APD,Air Products & Chemicals Inc,Basic Materials,Specialty Chemicals,USA,64329.13,41.55,289.05,-0.0117,560633,Yes
279,APG,APi Group Corporation,Industrials,Engineering & Construction,USA,14574.33,103.8,34.71,0.0026,3664465,Yes
280,APGE,Apogee Therapeutics Inc,Healthcare,Biotechnology,USA,2162.28,,36.32,-0.0524,856361,Yes
281,APH,Amphenol Corp,Technology,Electronic Components,USA,133690.87,43.69,109.5,0.0145,6507885,Yes
283,APLD,Applied Digital Corporation,Technology,Information Technology Services,USA,3867.88,,14.79,-0.0067,32663557,Yes
284,APLE,Apple Hospitality REIT Inc,Real Estate,REIT - Hotel & Motel,USA,2755.05,14.59,11.58,-0.0111,6752678,Yes
285,APLS,Apellis Pharmaceuticals Inc,Healthcare,Biotechnology,USA,2996.86,,23.73,-0.0194,2088935,Yes
288,APO,Apollo Global Management Inc,Financial,Asset Management,USA,83363.86,27.52,145.87,0.0023,3190748,Yes
290,APP,Applovin Corp,Communication Services,Advertising Agencies,USA,132163.75,70.53,390.57,0.0334,12843923,Yes
291,APPF,Appfolio Inc,Technology,Software - Application,USA,11199.31,56.37,312.37,-0.0042,491808,Yes
292,APPN,Appian Corp,Technology,Software - Infrastructure,USA,2000.45,,26.95,-0.0228,840968,Yes
296,APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,Switzerland,14180.52,10.79,65.12,0.0052,2209578,Yes
299,AQN,Algonquin Power & Utilities Corp,Utilities,Utilities - Diversified,Canada,4665.9,,5.9,-0.0051,9604415,Yes
302,AR,Antero Resources Corp,Energy,Oil & Gas E&P,USA,10200.9,23,33.02,-0.0084,3879453,Yes
307,ARCC,Ares Capital Corp,Financial,Asset Management,USA,15835.5,11,22.45,-0.0013,3216997,Yes
313,ARE,Alexandria Real Estate Equities Inc,Real Estate,REIT - Office,USA,12773.02,,73.85,-0.0549,2984769,Yes
316,ARES,Ares Management Corp,Financial,Asset Management,USA,61818.21,105.43,189.29,0.007,1390610,Yes
318,ARGX,Argen X SE ADR,Healthcare,Biotechnology,Netherlands,41196.78,34.22,673.15,-0.0026,410783,Yes
334,ARLP,"Alliance Resource Partners, LP",Energy,Thermal Coal,USA,3385.36,14.45,26.36,-0.0019,425853,Yes
335,ARM,Arm Holdings plc. ADR,Technology,Semiconductors,United Kingdom,144151.07,207.28,136.12,-0.0081,3241026,Yes
336,ARMK,Aramark,Industrials,Specialty Business Services,USA,10317.73,29.12,39.37,-0.0048,3135451,Yes
340,AROC,Archrock Inc,Energy,Oil & Gas Equipment & Services,USA,4033.02,17.27,22.81,0.0368,2046646,Yes
350,ARW,Arrow Electronics Inc,Technology,Electronics & Computer Distribution,USA,5985.02,13.14,116.21,-0.0124,698931,Yes
351,ARWR,Arrowhead Pharmaceuticals Inc,Healthcare,Biotechnology,USA,2252.41,,16.31,-0.0097,1935040,Yes
352,ARX,Accelerant Holdings,Financial,Insurance Brokers,Cayman Islands,6368.71,,28.95,0.0194,1162131,Yes
353,AS,Amer Sports Inc,Consumer Cyclical,Leisure,Finland,21588.89,104.84,38.98,0.0266,1991481,Yes
355,ASAN,Asana Inc,Technology,Software - Application,USA,3449.83,,14.66,0.039,3257906,Yes
356,ASB,Associated Banc-Corp,Financial,Banks - Regional,USA,3983.67,31.63,24.02,-0.0111,2073531,Yes
359,ASGN,ASGN Inc,Technology,Information Technology Services,USA,2213.21,16.04,50.53,-0.0148,858158,Yes
360,ASH,Ashland Inc,Basic Materials,Specialty Chemicals,USA,2359.8,,51.63,-0.009,768678,Yes
366,ASML,ASML Holding NV,Technology,Semiconductor Equipment & Materials,Netherlands,271740.76,26.48,690.96,0.0019,1218701,Yes
367,ASND,Ascendis Pharma A/S ADR,Healthcare,Biotechnology,Denmark,11023.56,,182.6,-0.0214,411547,Yes
368,ASO,Academy Sports and Outdoors Inc,Consumer Cyclical,Specialty Retail,USA,3437.46,9.53,51.71,0.0163,671902,Yes
371,ASR,Grupo Aeroportuario Del Sureste S.A. ADR,Industrials,Airports & Air Services,Mexico,8732.98,15,315.27,0.0232,115215,Yes
378,ASTS,AST SpaceMobile Inc,Technology,Communication Equipment,USA,17785.49,,51.79,-0.0148,6366458,Yes
381,ASX,ASE Technology Holding Co.Ltd ADR,Technology,Semiconductors,Taiwan,21137.31,20.62,9.72,-0.001,5033379,Yes
384,ATAT,Atour Lifestyle Holdings Ltd ADR,Consumer Cyclical,Lodging,China,3831.6,26.86,33.72,0.0163,1469770,Yes
385,ATEC,Alphatec Holdings Inc,Healthcare,Medical Devices,USA,2249.35,,15.2,-0.0091,4365166,Yes
389,ATGE,Adtalem Global Education Inc,Consumer Defensive,Education & Training Services,USA,4304.89,19.88,119.82,0.0389,469485,Yes
391,ATHM,Autohome Inc ADR,Communication Services,Internet Content & Information,China,3286.71,16.38,27.75,0.0084,251519,Yes
392,ATI,ATI Inc,Industrials,Metal Fabrication,USA,10264.36,25.74,74.47,0,2390072,Yes
397,ATMU,Atmus Filtration Technologies Inc,Consumer Cyclical,Auto Parts,USA,3108.17,16.99,37.6,-0.0123,711624,Yes
400,ATO,Atmos Energy Corp,Utilities,Utilities - Regulated Gas,USA,24940.57,21.92,157.02,0.0025,1409932,Yes
403,ATR,Aptargroup Inc,Healthcare,Medical Instruments & Supplies,USA,9127.09,23.9,138.54,-0.012,515319,Yes
406,ATS,ATS Corporation,Industrials,Specialty Industrial Machinery,Canada,3025.55,,30.99,0.0231,192653,Yes
410,AU,AngloGold Ashanti Plc,Basic Materials,Gold,United Kingdom,29345.56,25.01,58.28,0.0322,3186877,Yes
411,AUB,Atlantic Union Bankshares Corp,Financial,Banks - Regional,USA,4514.82,15.41,31.69,0.0003,1845758,Yes
414,AUR,Aurora Innovation Inc,Technology,Information Technology Services,USA,11145.81,,6.04,-0.0195,10792656,Yes
417,AVA,Avista Corp,Utilities,Utilities - Diversified,USA,2954.27,16.44,36.67,-0.0413,1845402,Yes
419,AVAV,AeroVironment Inc,Industrials,Aerospace & Defense,USA,12982.02,170.47,263.1,-0.0062,635986,Yes
420,AVB,Avalonbay Communities Inc,Real Estate,REIT - Residential,USA,26551.67,22.95,186.5,0.001,1283571,Yes
426,AVDX,AvidXchange Holdings Inc,Technology,Software - Infrastructure,USA,2037.63,1189.16,9.87,-0.001,2455202,Yes
429,AVGO,Broadcom Inc,Technology,Semiconductors,USA,1418896.22,113.4,301.67,0.0298,17392100,Yes
444,AVNT,Avient Corp,Basic Materials,Specialty Chemicals,USA,3051.05,25.8,33.33,-0.0249,914408,Yes
448,AVPT,AvePoint Inc,Technology,Software - Infrastructure,USA,3784.17,,17.86,0.0159,974417,Yes
452,AVT,Avnet Inc,Technology,Electronics & Computer Distribution,USA,4147.59,18.12,49.46,-0.0468,2710764,Yes
453,AVTR,Avantor Inc,Healthcare,Medical Instruments & Supplies,USA,7621.84,11.1,11.18,-0.0395,11028661,Yes
458,AVY,Avery Dennison Corp,Consumer Cyclical,Packaging & Containers,USA,13071.27,18.79,167.62,-0.0033,615361,Yes
460,AWI,Armstrong World Industries Inc,Industrials,Building Products & Equipment,USA,8256.72,28.25,190.87,0.0006,318539,Yes
461,AWK,American Water Works Co. Inc,Utilities,Utilities - Regulated Water,USA,27686.44,25.55,141.91,0.0029,2087807,Yes
462,AWR,American States Water Co,Utilities,Utilities - Regulated Water,USA,2863.89,22.93,74.37,-0.0034,176417,Yes
464,AX,Axos Financial Inc,Financial,Banks - Regional,USA,4795.66,11.41,85.07,-0.0097,285630,Yes
467,AXON,Axon Enterprise Inc,Industrials,Aerospace & Defense,USA,67235.86,213.49,863.65,-0.004,842126,Yes
468,AXP,American Express Co,Financial,Credit Services,USA,205661.05,20.75,295.54,-0.0037,3430465,Yes
469,AXS,Axis Capital Holdings Ltd,Financial,Insurance - Specialty,Bermuda,7448.42,9.16,95.28,0.0101,641712,Yes
470,AXSM,Axsome Therapeutics Inc,Healthcare,Biotechnology,USA,5152.83,,103.26,-0.0032,553819,Yes
471,AXTA,Axalta Coating Systems Ltd,Basic Materials,Specialty Chemicals,USA,6165.87,13.99,28.47,-0.0073,3113557,Yes
473,AYI,Acuity Inc,Industrials,Electrical Equipment & Parts,USA,9439.53,24.27,308.03,-0.0108,256732,Yes
475,AZN,Astrazeneca plc ADR,Healthcare,Drug Manufacturers - General,United Kingdom,228258.62,27.61,73.6,-0.0118,2947283,Yes
476,AZO,Autozone Inc,Consumer Cyclical,Auto Parts,USA,68132.7,27.56,4072.8,0.0153,109262,Yes
478,AZZ,AZZ Inc,Industrials,Specialty Business Services,USA,3256.52,12.59,108.5,0.0006,242022,Yes
479,B,Barrick Mining Corp,Basic Materials,Gold,Canada,39083.33,17.07,22.73,0.0084,13137676,Yes
480,BA,Boeing Co,Industrials,Aerospace & Defense,USA,170165.72,,225.04,0.0008,3898823,Yes
482,BABA,Alibaba Group Holding Ltd ADR,Consumer Cyclical,Internet Retail,China,270147.48,16.22,120.86,0.0326,12079640,Yes
485,BAC,Bank Of America Corp,Financial,Banks - Diversified,USA,336423.53,13.3,45.42,-0.0031,27916767,Yes
487,BAH,Booz Allen Hamilton Holding Corp,Industrials,Consulting Services,USA,13787.84,13.74,111.87,0.0038,1245948,Yes
490,BALL,Ball Corp,Consumer Cyclical,Packaging & Containers,USA,14578.29,24.54,52.55,-0.0322,4772604,Yes
492,BAM,Brookfield Asset Management Ltd,Financial,Asset Management,USA,101478.4,42.5,62.93,0.0226,3080859,Yes
493,BANC,Banc of California Inc,Financial,Banks - Regional,USA,2265.11,22.28,14.39,-0.0117,2481958,Yes
495,BANF,Bancfirst Corp,Financial,Banks - Regional,USA,4066.27,17.65,122.32,-0.0035,140206,Yes
496,BANR,Banner Corp,Financial,Banks - Regional,USA,2181.65,12.03,63.09,-0.0013,341594,Yes
498,BAP,Credicorp Ltd,Financial,Banks - Regional,Peru,19325.75,12.52,242.99,0.0041,327787,Yes
501,BATRA,Atlanta Braves Holdings Inc,Communication Services,Entertainment,USA,2796.93,,47.35,0,28236,Yes
502,BATRK,Atlanta Braves Holdings Inc,Communication Services,Entertainment,USA,2790.09,,44.89,-0.0024,297091,Yes
504,BAX,Baxter International Inc,Healthcare,Medical Instruments & Supplies,USA,11546.43,,22.5,-0.0149,10175899,Yes
505,BB,BlackBerry Ltd,Technology,Software - Infrastructure,Canada,2205.71,,3.71,-0.008,10912334,Yes
507,BBAR,BBVA Argentina ADR,Financial,Banks - Regional,Argentina,3510.89,9.04,17.19,0.0482,665997,Yes
512,BBD,Banco Bradesco S.A. ADR,Financial,Banks - Regional,Brazil,28049.51,8.64,2.85,0.0106,39282581,Yes
517,BBIO,BridgeBio Pharma Inc,Healthcare,Biotechnology,USA,8508.56,,44.81,-0.0894,14108166,Yes
522,BBU,Brookfield Business Partners L.P,Industrials,Conglomerates,Canada,2257.74,,25.26,-0.0036,9665,Yes
523,BBUC,Brookfield Business Corp,Financial,Asset Management,USA,2948.89,,30.53,-0.0097,58239,Yes
525,BBVA,Banco Bilbao Vizcaya Argentaria S.A. ADR,Financial,Banks - Diversified,Spain,102098.84,9,17.74,0.0266,1744424,Yes
527,BBWI,Bath & Body Works Inc,Consumer Cyclical,Specialty Retail,USA,6160.02,7.78,29.11,0.0062,5129609,Yes
528,BBY,Best Buy Co. Inc,Consumer Cyclical,Specialty Retail,USA,14251.11,16.48,67.43,0.0067,3191200,Yes
529,BC,Brunswick Corp,Consumer Cyclical,Recreational Vehicles,USA,3823.16,92.57,58.52,-0.0135,582509,Yes
533,BCC,Boise Cascade Co,Basic Materials,Lumber & Wood Production,USA,3096.02,12.18,82.92,-0.0444,550525,Yes
535,BCE,BCE Inc,Communication Services,Telecom Services,Canada,21432.55,84.67,23.25,-0.0132,4374871,Yes
536,BCH,Banco de Chile ADR,Financial,Banks - Regional,Chile,14010.92,10.93,27.74,-0.0121,295316,Yes
540,BCO,Brink's Co,Industrials,Security & Protection Services,USA,4200.84,26.83,100.02,0.1281,966182,Yes
541,BCPC,Balchem Corp,Basic Materials,Specialty Chemicals,USA,5192.83,36.66,160,0.0229,165364,Yes
543,BCS,Barclays plc ADR,Financial,Banks - Diversified,United Kingdom,68944.5,6.3,19.56,0.0088,13475579,Yes
546,BDC,Belden Inc,Technology,Communication Equipment,USA,4579.26,20.96,115.58,-0.0246,225201,Yes
551,BDX,Becton Dickinson & Co,Healthcare,Medical Instruments & Supplies,USA,49413.98,32.9,172.41,-0.0253,4225907,Yes
552,BE,Bloom Energy Corp,Industrials,Electrical Equipment & Parts,USA,9093.16,8268.09,38.86,0.0332,9392535,Yes
556,BEKE,KE Holdings Inc ADR,Real Estate,Real Estate Services,China,19909.73,33.13,17.52,-0.0023,7875639,Yes
559,BEN,"Franklin Resources, Inc",Financial,Asset Management,USA,13078.54,48.3,25.19,-0.0024,3343078,Yes
560,BEP,Brookfield Renewable Partners LP,Utilities,Utilities - Renewable,Bermuda,7302.95,,25.73,-0.01,363656,Yes
561,BEPC,Brookfield Renewable Corp,Utilities,Utilities - Renewable,USA,6111.66,,34.02,-0.0087,975541,Yes
563,BF-A,Brown-Forman Corp,Consumer Defensive,Beverages - Wineries & Distilleries,USA,14331.2,16.35,30.05,0.004,148107,Yes
564,BF-B,Brown-Forman Corp,Consumer Defensive,Beverages - Wineries & Distilleries,USA,14353.95,16.6,30.51,0.0056,3336411,Yes
565,BFAM,"Bright Horizons Family Solutions, Inc",Consumer Cyclical,Personal Services,USA,6824.03,43.09,119.19,0.0135,956854,Yes
566,BFH,Bread Financial Holdings Inc,Financial,Credit Services,USA,2737.45,9.94,58.69,-0.0046,480608,Yes
573,BG,Bunge Global SA,Consumer Defensive,Farm Products,USA,16198.59,8.09,80.97,-0.0175,2387039,Yes
574,BGC,BGC Group Inc,Financial,Capital Markets,USA,4832.91,32.72,9.9,-0.004,2480499,Yes
579,BHC,Bausch Health Companies Inc,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,2129.99,21.99,5.76,-0.0303,1543011,Yes
581,BHF,Brighthouse Financial Inc,Financial,Insurance - Life,USA,2725.78,5.68,47.48,0.0147,740067,Yes
