No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,>2000 (2 bil)
1620,EQIX,Equinix Inc,Real Estate,REIT - Specialty,USA,75648.86,75.67,773,-0.0076,316315,Yes
1622,EQNR,Equinor ASA ADR,Energy,Oil & Gas Integrated,Norway,62739.02,8.19,24.75,-0.0167,9904399,Yes
1623,EQR,Equity Residential Properties Trust,Real Estate,REIT - Residential,USA,24088.43,24.29,63.4,-0.0002,2212201,Yes
1624,EQT,EQT Corp,Energy,Oil & Gas E&P,USA,32113.98,27.68,51.46,-0.0044,5117274,Yes
1627,EQX,Equinox Gold Corp,Basic Materials,Gold,Canada,4986.56,13.18,6.57,0.0266,10432439,Yes
1629,ERIC,Telefonaktiebolaget L M Ericsson ADR,Technology,Communication Equipment,Sweden,22698.68,14.77,7.39,0.0014,7792966,Yes
1630,ERIE,Erie Indemnity Co,Financial,Insurance Brokers,USA,16713.17,30.79,358.88,0.0058,130514,Yes
1632,ERJ,Embraer S.A. ADR,Industrials,Aerospace & Defense,Brazil,10478.9,26.35,57.14,-0.0005,2123373,Yes
1637,ES,Eversource Energy,Utilities,Utilities - Regulated Electric,USA,24282.07,28.16,65.43,-0.0068,1982681,Yes
1638,ESAB,ESAB Corp,Industrials,Metal Fabrication,USA,6624.26,24.54,109.27,-0.1724,2072780,Yes
1640,ESE,"Esco Technologies, Inc",Technology,Scientific & Technical Instruments,USA,4958.04,42.06,191.99,0.0006,150936,Yes
1644,ESI,Element Solutions Inc,Basic Materials,Specialty Chemicals,USA,5598.25,23.39,23.17,-0.017,1593691,Yes
1645,ESLT,Elbit Systems Ltd,Industrials,Aerospace & Defense,Israel,22439.22,61.43,484.23,0.0005,91286,Yes
1647,ESNT,Essent Group Ltd,Financial,Insurance - Specialty,Bermuda,5866.08,8.47,57.85,0.005,601037,Yes
1651,ESS,"Essex Property Trust, Inc",Real Estate,REIT - Residential,USA,16966.42,20.46,254.52,-0.011,889295,Yes
